FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Jeremy,Hill,RB,CIN,ARI,#6,81,23,0,0,0.02,10.71,35.82,0.16,3.15,25.91,0.14,7.83,9.39,"$6,500",1.44
Giovani,Bernard,RB,CIN,ARI,#6,82,24,0,0,0,8.14,37.31,0.19,3.28,22.15,0.13,7.76,9.43,"$6,300",1.5
Ronnie,Hillman,RB,DEN,CHI,#25,83,25,0,0,0,12.54,50.66,0.3,1.64,8.26,0.02,7.75,8.55,"$6,200",1.38
Karlos,Williams,RB,BUF,NE,#14,84,26,-0.03,0,0,5.93,27.26,0.46,2,18.99,0.06,7.73,8.76,"$5,700",1.54
Antonio,Gates,TE,SD,KC,#9,85,3,0,0,0,0,0,0,4.86,55.73,0.39,7.64,10.1,"$5,900",1.71
Jimmy,Graham,TE,SEA,SF,#29,86,4,0,0,0,0,0,0,4.25,49.92,0.42,7.54,9.64,"$5,800",1.66
Rishard,Matthews,WR,MIA,DAL,#22,87,29,0,0,0,0.02,0.73,0,3.51,54.95,0.32,7.46,9.24,"$6,400",1.44
Tyler,Eifert,TE,CIN,ARI,#6,88,5,0,0,0,0,0,0,4.51,52.38,0.36,7.37,9.65,"$6,200",1.56
Davante,Adams,WR,GB,MIN,#16,89,30,0,0,0,0,0,0,5.49,57.56,0.26,7.25,9.98,"$6,800",1.47
Jordan,Reed,TE,WSH,CAR,#7,90,6,0,0,0,0,0,0,4.77,53.83,0.34,7.25,9.63,"$5,800",1.66
Melvin,Gordon,RB,SD,KC,#9,91,27,0,0,0,12.82,43.17,0.3,1.97,11.16,0.02,7.24,8.22,"$6,000",1.37
Ameer,Abdullah,RB,DET,OAK,#31,92,28,0.05,0.02,0,7.94,34.57,0.23,2.7,17.87,0.1,7.18,8.58,"$5,300",1.62
Martellus,Bennett,TE,CHI,DEN,#1,93,7,0,0,0,0,0,0,4.76,57.32,0.24,6.98,9.35,"$5,200",1.8
Donte,Moncrief,WR,IND,ATL,#19,94,31,0,0,0,0,0,0,3.64,52.18,0.26,6.78,8.6,"$6,100",1.41
Eddie,Lacy,RB,GB,MIN,#16,95,29,0,0,0,9.71,41.98,0.24,1.22,11.61,0.02,6.77,7.37,"$5,600",1.32
Golden,Tate,WR,DET,OAK,#31,96,32,0.72,0.04,0,0.18,1.05,0,4.4,50.32,0.25,6.65,8.87,"$6,200",1.43
Eric,Ebron,TE,DET,OAK,#31,97,8,0,0,0,0,0,0,4.27,46.35,0.33,6.57,8.75,"$5,400",1.62
Tavon,Austin,WR,STL,BAL,#17,98,33,0,0,0,0.86,4.01,0.03,3.38,47.46,0.21,6.55,8.28,"$6,000",1.38
Nate,Washington,WR,HOU,NYJ,#4,99,34,0,0,0,0,0,0,2.94,45.49,0.31,6.48,7.94,"$5,600",1.42
Travis,Kelce,TE,KC,SD,#28,100,9,0,0,0,0,0,0,3.68,45.68,0.32,6.39,8.25,"$5,700",1.45
Charles,Clay,TE,BUF,NE,#14,101,10,0,0,0,0,0,0,4.12,45.79,0.31,6.37,8.42,"$5,200",1.62
Joique,Bell,RB,DET,OAK,#31,102,30,0,0,0,7.88,24.15,0.2,3,24.49,0.06,6.27,7.92,"$5,400",1.47
Leonard,Hankerson,WR,ATL,IND,#20,103,35,0,0,0,0,0,0,2.55,42.36,0.33,6.24,7.49,"$5,000",1.5
Matt,Forte,RB,CHI,DEN,#1,104,31,0,0,0,9.18,35.93,0.16,1.77,15.76,0.03,6.22,7.11,"$7,800",0.91
Marquess,Wilson,WR,CHI,DEN,#1,105,36,0,0,0,0,0,0,3.31,50.07,0.2,6.2,7.9,"$5,100",1.55
Terrance,Williams,WR,DAL,MIA,#26,106,37,0,0,0,0,0,0,2.55,43.07,0.31,6.16,7.44,"$5,300",1.4
Dorial,Green-Beckham,WR,TEN,JAC,#23,107,38,0,0,0,0,0,0,3.12,50.53,0.18,6.11,7.75,"$5,500",1.41
Jamison,Crowder,WR,WSH,CAR,#7,108,39,0,0,0,0.15,0.32,0,4.3,45.99,0.26,6.06,8.18,"$5,800",1.41
Delanie,Walker,TE,TEN,JAC,#23,109,11,0,0,0,0,0,0,3.5,41.21,0.33,6.01,7.87,"$5,700",1.38
Jacob,Tamme,TE,ATL,IND,#20,110,12,0,0,0,0,0,0,4.15,48.53,0.2,5.99,8.09,"$5,300",1.53
Richard,Rodgers,TE,GB,MIN,#16,111,13,0,0,0,0,0,0,3.66,39.94,0.3,5.71,7.54,"$5,400",1.4
James,Jones,WR,GB,MIN,#16,112,40,0,0,0,0,0,0,1.99,37.37,0.32,5.63,6.65,"$5,200",1.28
Ted,Ginn Jr.,WR,CAR,WSH,#15,113,41,0,0,0,0.12,0.78,0,2.29,37.43,0.31,5.6,6.75,"$5,200",1.3
Zach,Ertz,TE,PHI,TB,#18,114,14,0.7,0.02,0,0,0,0,3.62,36.78,0.28,5.49,7.28,"$5,200",1.4
Shaun,Draughn,RB,SF,SEA,#3,115,32,0,0,0,9.43,34.23,0.16,1.72,15.32,0,5.4,6.26,"$5,600",1.12
Jason,Witten,TE,DAL,MIA,#26,116,15,0,0,0,0,0,0,4.73,42.68,0.17,5.23,7.57,"$5,500",1.38
Crockett,Gillmore,TE,BAL,STL,#2,116,15,0,0,0,0,0,0,2.85,35.82,0.28,5.23,6.69,"$5,300",1.26
Austin,Seferian-Jenkins,TE,TB,PHI,#5,117,16,0,0,0,0,0,0,1.97,27.79,0.4,5.18,6.16,"$5,100",1.21
Julius,Thomas,TE,JAC,TEN,#12,118,17,0,0,0,0,0,0,3.61,35.82,0.26,5.17,7.03,"$5,200",1.35
